Building Number,ADDRESS,Block #,Red Tags,TAG_COLOR,Building Use,Building Area (sqft),Year Built,Age (years),Value ($),Permit Issued Date,Permit Finaled Date,Time Interval (days),Time Interval (months),INITIAL_DAMAGE_DESCRIPTION,Chimney,Foundation,Damage State,Latitude,Longitude,PH_ENGLISH,PH_NO18UNDER,PASIAN,PHISLAT,PAFRICAN,INCOME,PHU_OWNED,PHIGHSCH_DIPLOMA,,
97,3675 HARKNESS ST,North,0,Yellow,Residential,1472,1960,56,"$501,400",12/3/14,expired on 6/1/15,NaN,NaN,chimney down,1,0,2,38.326208,-122.312771,89.25831202,62.1483376,3.609515997,41.59146842,0,27663,82.60869565,77.80898876,,
98,3618 IDLEWILD AVE,North,0,Yellow,Residential,1261,1962,54,"$481,000",NaN,NaN,NaN,NaN,remove patio cover - stucco cracks at garage - remove section of fence at front of house - do not use patio area,0,0,2,38.325034,-122.310554,89.25831202,62.1483376,3.609515997,41.59146842,0,27663,82.60869565,77.80898876,,
99,3601 BECKWORTH DR,North,0,Yellow,Residential,1261,1959,57,"$472,300",11/17/14,2/20/15,93,3.1,Chimney cracked at roof line,0,0,1,38.325657,-122.30882,89.25831202,62.1483376,3.609515997,41.59146842,0,27663,82.60869565,77.80898876,,
100,3655 BECKWORTH DR,North,0,Yellow,Residential,1261,1960,56,"$493,100",9/19/14,11/12/14,53,1.8,stay clear of chimney area,1,0,2,38.325273,-122.310896,89.25831202,62.1483376,3.609515997,41.59146842,0,27663,82.60869565,77.80898876,,
101,3659 BECKWORTH DR,North,0,Yellow,Residential,1261,1960,56,"$473,300",1/16/15,2/4/15,18,0.6,stay clear of chimney area,1,0,2,38.32546,-122.311036,89.25831202,62.1483376,3.609515997,41.59146842,0,27663,82.60869565,77.80898876,,
102,3648 HARKNESS ST,North,0,Yellow,Residential,1472,1961,55,"$526,600",3/5/15,expired on 9/26/15,NaN,NaN,top of brick chimney down,1,0,2,38.325645,-122.311613,89.25831202,62.1483376,3.609515997,41.59146842,0,27663,82.60869565,77.80898876,,
103,3673 BECKWORTH DR,North,0,Yellow,Residential,1261,1960,56,"$471,400",3/6/15,5/6/15,60,2.0,stay clear of chimney area,1,0,2,38.325873,-122.311388,89.25831202,62.1483376,3.609515997,41.59146842,0,27663,82.60869565,77.80898876,,
104,3656 HARKNESS ST,North,0,Yellow,Residential,1261,1960,56,"$474,700",10/3/14,expired on 4/6/16,NaN,NaN,top of brick chimney down,1,0,2,38.325918,-122.311845,89.25831202,62.1483376,3.609515997,41.59146842,0,27663,82.60869565,77.80898876,,
105,3660 HARKNESS ST,North,0,Yellow,Residential,1752,1960,56,"$563,800",NaN,NaN,NaN,NaN,"chimney fell, no falling hazard - do not use fireplace",1,0,2,38.326052,-122.311964,89.25831202,62.1483376,3.609515997,41.59146842,0,27663,82.60869565,77.80898876,,
106,3687 BECKWORTH DR,North,0,Yellow,Residential,1261,1960,56,"$473,300",9/15/14,9/30/14,15,0.5,do not occupy or utilize interior/exterior areas adjacent to fireplace,0,0,2,38.326281,-122.311745,89.25831202,62.1483376,3.609515997,41.59146842,0,27663,82.60869565,77.80898876,,
107,3668 HARKNESS ST,North,0,Yellow,Residential,1261,1960,56,"$469,800",11/17/14,11/26/14,9,0.3,Chimney fell down,0,0,2,38.326326,-122.312199,89.25831202,62.1483376,3.609515997,41.59146842,0,27663,82.60869565,77.80898876,,
108,1783 TALLAC ST,North,0,Yellow,Residential,1714,1960,56,"$551,900",NaN,NaN,NaN,NaN,stay clear of chimney area,1,0,2,38.326617,-122.311353,89.25831202,62.1483376,3.609515997,41.59146842,0,27663,82.60869565,77.80898876,,
109,1723 TALLAC ST,North,0,Yellow,Residential,1261,1960,56,"$460,900",NaN,NaN,NaN,NaN,chimney taken down above roof to alleviate falling hazard; needs repair prior to use; stucco cracks may need investigation,1,0,2,38.326898,-122.309824,89.25831202,62.1483376,3.609515997,41.59146842,0,27663,82.60869565,77.80898876,,
110,3677 SENECA WAY,North,0,Yellow,Residential,1261,1960,56,"$443,500",11/17/14,11/20/14,3,0.1,stay clear of chimney area,1,0,2,38.325985,-122.310899,89.25831202,62.1483376,3.609515997,41.59146842,0,27663,82.60869565,77.80898876,,
111,1788 TALLAC ST,North,0,Yellow,Residential,1305,1960,56,"$481,000",NaN,NaN,NaN,NaN,stay clear of chimney area,1,0,2,38.327026,-122.311578,89.25831202,62.1483376,3.609515997,41.59146842,0,27663,82.60869565,77.80898876,,
112,2133 BIG RANCH RD,North,0,Yellow,Residential,1888,1979,37,"$1,025,700",10/6/14,expired on 4/4/15,NaN,NaN,"cracking of stucco, interior cracking, one severe at walls of fireplace, patio cover - danger of collapse - needs repair",0,0,3,38.330455,-122.291522,95.85253456,87.32718894,0.453720508,11.0707804,0,42982,52.99539171,91.95544554,,
113,1270 RUBICON ST,North,0,Yellow,Residential,1534,1970,46,"$540,700",NaN,NaN,NaN,NaN,chimney fell - do not use fireplace/stove,1,0,2,38.324684,-122.300659,90.13671875,83.7890625,2.955665025,16.99507389,0,34288,41.796875,82.28092784,,
114,3512 JEFFERSON ST,North,0,Yellow,Residential,1720,1956,60,"$542,800",NaN,NaN,NaN,NaN,chimney is gone above roof level,1,0,2,38.325011,-122.30139,90.13671875,83.7890625,2.955665025,16.99507389,0,34288,41.796875,82.28092784,,
115,3516 JEFFERSON ST,North,0,Yellow,Residential,1408,1956,60,"$496,500",NaN,NaN,NaN,NaN,"chimney fallen and pipe sticking out (right side), chimney on left side may be leaning also",1,0,2,38.32515,-122.301538,90.13671875,83.7890625,2.955665025,16.99507389,0,34288,41.796875,82.28092784,,
116,3522 JEFFERSON ST,North,0,Yellow,Residential,1100,1958,58,"$438,500",NaN,NaN,NaN,NaN,chimney fell,1,0,2,38.325266,-122.301647,90.13671875,83.7890625,2.955665025,16.99507389,0,34288,41.796875,82.28092784,,
117,3553 CASCADE ST,North,0,Yellow,Residential,1556,1972,44,"$564,600",9/20/14,expired on 3/23/15,NaN,NaN,"avoid side yard, chimney stack came apart but not fallen - do not use fireplace",1,0,2,38.325944,-122.301663,90.13671875,83.7890625,2.955665025,16.99507389,0,34288,41.796875,82.28092784,,
118,3558 JEFFERSON ST,North,0,Yellow,Residential,1261,1958,58,"$468,800",NaN,NaN,NaN,NaN,2 chimneys cracked - falling hazard ,1,0,2,38.326127,-122.302282,90.13671875,83.7890625,2.955665025,16.99507389,0,34288,41.796875,82.28092784,,
119,3564 JEFFERSON ST,North,0,Yellow,Residential,1100,1958,58,"$445,600",NaN,NaN,NaN,NaN,chimney fell - do not use fire place,1,0,2,38.326263,-122.302394,90.13671875,83.7890625,2.955665025,16.99507389,0,34288,41.796875,82.28092784,,
120,3577 CASCADE ST,North,0,Yellow,Residential,1441,1972,44,"$517,400",NaN,NaN,NaN,NaN,chimney fell - do not use fire place,1,0,2,38.326504,-122.30211,90.13671875,83.7890625,2.955665025,16.99507389,0,34288,41.796875,82.28092784,,
121,1277 EL CAPITAN WAY,North,0,Yellow,Residential,1481,1973,43,"$523,900",NaN,NaN,NaN,NaN,Chimney top fell off onto yard,0,0,2,38.327067,-122.302641,90.13671875,83.7890625,2.955665025,16.99507389,0,34288,41.796875,82.28092784,,
122,3555 MARIPOSA CT,North,0,Yellow,Residential,1441,1969,47,"$504,900",NaN,NaN,NaN,NaN,Top of chimney section loose ready to fall,1,0,1,38.326322,-122.300851,90.13671875,83.7890625,2.955665025,16.99507389,0,34288,41.796875,82.28092784,,
123,3573 MARIPOSA CT,North,0,Yellow,Residential,1556,1969,47,"$529,800",NaN,NaN,NaN,NaN,chimney bricks failed along horizontal joint line/remain clear of chimney area,1,0,2,38.326715,-122.301035,90.13671875,83.7890625,2.955665025,16.99507389,0,34288,41.796875,82.28092784,,
124,3520 MARIPOSA CT,North,0,Yellow,Residential,1441,1969,47,"$512,700",1/16/15,expired on 8/1/15,NaN,NaN,Avoid chimney area inside and outside,1,0,2,38.326166,-122.299976,90.13671875,83.7890625,2.955665025,16.99507389,0,34288,41.796875,82.28092784,,
125,3540 MARIPOSA CT,North,0,Yellow,Residential,1441,1969,47,"$503,200",NaN,NaN,NaN,NaN,need to inspect chimneys mortar joint line at roof line - joint appears to have gaps,1,0,1,38.326451,-122.300196,90.13671875,83.7890625,2.955665025,16.99507389,0,34288,41.796875,82.28092784,,
126,3614 JEFFERSON ST,North,0,Yellow,Residential,1261,1959,57,"$462,000",12/8/14,12/17/14,9,0.3,chimney fell from above roofline - do not use,1,0,2,38.327478,-122.303362,90.13671875,83.7890625,2.955665025,16.99507389,0,34288,41.796875,82.28092784,,
127,3626 JEFFERSON ST,North,0,Yellow,Residential,1550,1959,57,"$489,400",NaN,NaN,NaN,NaN,chimney fell - do not use fireplace,1,0,2,38.327611,-122.303512,90.13671875,83.7890625,2.955665025,16.99507389,0,34288,41.796875,82.28092784,,
128,3638 JEFFERSON ST,North,0,Yellow,Residential,1100,1958,58,"$422,900",NaN,NaN,NaN,NaN,chimney fell,1,0,2,38.327725,-122.303628,90.13671875,83.7890625,2.955665025,16.99507389,0,34288,41.796875,82.28092784,,
129,3674 JEFFERSON ST,North,0,Yellow,Residential,1261,1959,57,"$458,600",NaN,NaN,NaN,NaN,brick shifted above roofline - avoid side yard and do not use fireplace,0,0,2,38.328178,-122.303923,90.13671875,83.7890625,2.955665025,16.99507389,0,34288,41.796875,82.28092784,,
130,3690 JEFFERSON ST,North,0,Yellow,Residential,1404,1959,57,"$488,100",NaN,NaN,NaN,NaN,chimney loose from roofline - avoid side yard - do not use fire place,1,0,2,38.328446,-122.304172,90.13671875,83.7890625,2.955665025,16.99507389,0,34288,41.796875,82.28092784,,
131,3642 WILLIS DR,North,0,Yellow,Residential,1481,1973,43,"$516,300",11/1/14,1/14/15,73,2.4,loose grout at chimney across one joint - do not use fireplace/front porch seems to be off support - get permit for repair work,1,0,2,38.328991,-122.300676,90.13671875,83.7890625,2.955665025,16.99507389,0,34288,41.796875,82.28092784,,
132,3757 PARRETT AVE,North,0,Yellow,Residential,1565,1960,56,"$524,600",NaN,NaN,NaN,NaN,"chimney from roofline and up fell to ground - do not use fireplace, get permit for repair work",1,0,2,38.329708,-122.304658,90.13671875,83.7890625,2.955665025,16.99507389,0,34288,41.796875,82.28092784,,
133,3717 PARRETT AVE,North,0,Yellow,Residential,1134,1960,56,"$438,300",NaN,NaN,NaN,NaN,Chimney and adjacent areas shall be inspected,0,0,2,38.329436,-122.304446,90.13671875,83.7890625,2.955665025,16.99507389,0,34288,41.796875,82.28092784,,
134,3708 PARRETT AVE,North,0,Yellow,Residential,1100,1960,56,"$446,200",9/25/14,expired on 3/24/15,NaN,NaN,chimney came off from roofline - do not use fireplace,1,0,2,38.329501,-122.303904,90.13671875,83.7890625,2.955665025,16.99507389,0,34288,41.796875,82.28092784,,
135,3764 WILLIS DR,North,0,Yellow,Residential,1131,1963,53,"$444,500",NaN,NaN,NaN,NaN,chimney crack - do not use fireplace - get permit for repair work,1,0,1,38.331567,-122.302614,90.13671875,83.7890625,2.955665025,16.99507389,0,34288,41.796875,82.28092784,,
136,20 GARFIELD LN,North,0,Yellow,Residential,3000,NaN,NaN,NaN,11/4/14,12/23/14,49,1.6,"windows walls racked, fireplace chimney broke at roofline; repair or remove",1,0,2,38.33297,-122.296126,95.85253456,87.32718894,0.453720508,11.0707804,0,42982,52.99539171,91.95544554,,
137,1666 SIERRA AVE,North,0,Yellow,Residential,1631,1954,62,"$528,300",NaN,NaN,NaN,NaN,chimney damage,1,0,1,38.328306,-122.308839,88.19095477,49.74874372,0,38.55519481,0,24457,71.35678392,81.7218543,,
138,1626 RAINIER AVE,North,0,Yellow,Residential,1593,1956,60,"$538,700",9/24/14,expired on 5/31/15,NaN,NaN,chimney failure - stay clear until damage is removed,1,0,2,38.329171,-122.30857,88.19095477,49.74874372,0,38.55519481,0,24457,71.35678392,81.7218543,,
139,1600 RAINIER AVE,North,0,Yellow,Residential,2810,1956,60,"$604,600",2/12/15,expired on 8/11/15,NaN,NaN,do not inhabit or utilize interior/exterior areas adjacent to chimney,1,0,2,38.329218,-122.308317,88.19095477,49.74874372,0,38.55519481,0,24457,71.35678392,81.7218543,,
140,3136 HAMILTON ST,North,0,Yellow,Residential,1674,1956,60,"$539,800",NaN,NaN,NaN,NaN,chimney failure - stay clear until damage is removed,1,0,2,38.329706,-122.306803,88.19095477,49.74874372,0,38.55519481,0,24457,71.35678392,81.7218543,,
141,1784 YELLOWSTONE ST,North,0,Yellow,Residential,1382,1962,54,"$503,500",2/9/15,12/22/15,313,10.4,chimney damage,1,0,1,38.330251,-122.311089,88.19095477,49.74874372,0,38.55519481,0,24457,71.35678392,81.7218543,,
142,1741 SEQUOIA ST,North,0,Yellow,Residential,1382,1962,54,"$490,200",10/10/14,12/10/14,60,2.0,chimney failure - stay clear until damage is removed,1,0,2,38.330531,-122.310959,88.19095477,49.74874372,0,38.55519481,0,24457,71.35678392,81.7218543,,
143,1733 SEQUOIA ST,North,0,Yellow,Residential,1215,1962,54,"$457,800",9/9/14,10/9/14,30,1.0,chimney failure - stay clear until damage is removed,1,0,2,38.330569,-122.310758,88.19095477,49.74874372,0,38.55519481,0,24457,71.35678392,81.7218543,,
144,1648 YELLOWSTONE ST,North,0,Yellow,Residential,1382,1962,54,"$495,700",NaN,NaN,NaN,NaN,chimney damage mitigated - stay clear of area until damage is removed,1,0,2,38.33055,-122.30945,88.19095477,49.74874372,0,38.55519481,0,24457,71.35678392,81.7218543,,
145,1552 YELLOWSTONE ST,North,0,Yellow,Residential,1822,1962,54,"$555,600",9/4/14,expired on 3/3/15,NaN,NaN,chimney failure - stay clear until damage is removed,1,0,2,38.330776,-122.308225,88.19095477,49.74874372,0,38.55519481,0,24457,71.35678392,81.7218543,,
146,1631 ARCADIA CT,North,0,Yellow,Residential,1920,1964,52,"$624,600",3/16/15,4/28/15,42,1.4,chimney failure - stay clear until damage is removed,1,0,2,38.331507,-122.309658,88.19095477,49.74874372,0,38.55519481,0,24457,71.35678392,81.7218543,,
147,1583 TROWER AVE,North,0,Yellow,Residential,1510,1964,52,"$514,300",NaN,NaN,NaN,NaN,"Chimney failure, (falling hazard). Avoid area around chimney",1,0,2,38.332293,-122.309635,88.19095477,49.74874372,0,38.55519481,0,24457,71.35678392,81.7218543,,
148,3800 LASSEN ST,North,0,Yellow,Residential,1365,1962,54,"$501,400",10/17/14,4/27/15,190,6.3,do not use family room or walkway surrounding chimney,1,0,2,38.329904,-122.312755,88.19095477,49.74874372,0,38.55519481,0,24457,71.35678392,81.7218543,,
149,3872 LASSEN ST,North,0,Yellow,Residential,1365,1962,54,"$489,000",NaN,NaN,NaN,NaN,top 11 courses of brick separated from mortar bed - avoid area around chimney,1,0,2,38.330873,-122.313084,88.19095477,49.74874372,0,38.55519481,0,24457,71.35678392,81.7218543,,
150,3800 YOSEMITE ST,North,0,Yellow,Residential,1382,1962,54,"$500,300",10/17/14,10/22/14,5,0.2,chimney failure - stay clear until damage is removed,1,0,2,38.330061,-122.311886,88.19095477,49.74874372,0,38.55519481,0,24457,71.35678392,81.7218543,,
151,3814 YOSEMITE ST,North,0,Yellow,Residential,1382,1962,54,"$496,300",NaN,NaN,NaN,NaN,chimney failure - stay clear until damage is removed,1,0,2,38.330396,-122.312007,88.19095477,49.74874372,0,38.55519481,0,24457,71.35678392,81.7218543,,
152,1774 SEQUOIA ST,North,0,Yellow,Residential,1479,1962,54,"$508,300",9/22/14,3/11/15,169,5.6,chimney failure - stay clear until damage is removed,1,0,2,38.330445,-122.311641,88.19095477,49.74874372,0,38.55519481,0,24457,71.35678392,81.7218543,,
153,1758 SEQUOIA ST,North,0,Yellow,Residential,1382,1962,54,"$490,500",9/22/14,expired on 5/4/15,NaN,NaN,chimney failure - stay clear until damage is removed,1,0,2,38.330819,-122.311695,88.19095477,49.74874372,0,38.55519481,0,24457,71.35678392,81.7218543,,
154,1781 OLYMPIA CT,North,0,Yellow,Residential,1929,1965,51,"$585,100",NaN,NaN,NaN,NaN,chimney failure - stay clear until damage is removed,1,0,2,38.331089,-122.311693,88.19095477,49.74874372,0,38.55519481,0,24457,71.35678392,81.7218543,,
155,1793 OLYMPIA CT,North,0,Yellow,Residential,1996,1965,51,"$623,300",9/3/14,expired on 3/2/15,NaN,NaN,chimney failure - stay clear until damage is removed,1,0,2,38.331248,-122.311895,88.19095477,49.74874372,0,38.55519481,0,24457,71.35678392,81.7218543,,
156,1745 OLYMPIA CT,North,0,Yellow,Residential,1820,1965,51,"$560,200",NaN,NaN,NaN,NaN,chimney failure - stay clear until damage is removed,1,0,2,38.331225,-122.31121,88.19095477,49.74874372,0,38.55519481,0,24457,71.35678392,81.7218543,,
157,3873 DIABLO ST,North,0,Yellow,Residential,1421,1965,51,"$504,600",1/12/15,2/6/15,24,0.8,"Chimney cracked,viewed inside, chimney to be stabilized by a previously installed, recommend strutural engineer to be consulted for repairs",1,0,1,38.331426,-122.310555,88.19095477,49.74874372,0,38.55519481,0,24457,71.35678392,81.7218543,,
158,3917 DIABLO ST,North,0,Yellow,Residential,1011,1966,50,"$444,300",9/25/14,8/21/15,326,10.9,chimney failure - stay clear until damage is removed,1,0,2,38.331917,-122.310686,88.19095477,49.74874372,0,38.55519481,0,24457,71.35678392,81.7218543,,
159,3925 LASSEN ST,North,0,Yellow,Residential,1719,1966,50,"$597,400",12/5/14,expired on 6/9/15,NaN,NaN,chimney,1,0,1,38.331656,-122.313848,88.19095477,49.74874372,0,38.55519481,0,24457,71.35678392,81.7218543,,
160,1868 TROWER AVE,North,0,Yellow,Residential,1516,1964,52,"$500,100",10/18/14,10/21/14,3,0.1,chimney,1,0,1,38.332254,-122.313086,89.02439024,67.07317073,0.925925926,31.8287037,0,33779,67.37804878,74.83333333,,
161,1862 TROWER AVE,North,0,Yellow,Residential,1639,1964,52,"$532,200",cap and seal chimney 9/22/14; repair front porch 11/8/14,chimney expired on 3/21/15; front porch expired on 6/2/15,NaN,NaN,"Patio post leaning, owner replaced posts, city to inspect work chimney has cracks in mortar bed. City to inspect replaced posts",1,0,2,38.332286,-122.312883,89.02439024,67.07317073,0.925925926,31.8287037,0,33779,67.37804878,74.83333333,,
162,1887 WISE DR,North,0,Yellow,Residential,1510,1964,52,"$523,500",9/8/14,expired on 3/7/15,NaN,NaN,chimney,1,0,1,38.332486,-122.313351,89.02439024,67.07317073,0.925925926,31.8287037,0,33779,67.37804878,74.83333333,,
163,1530 TROWER AVE,North,0,Yellow,Residential,1421,1965,51,"$508,200",NaN,NaN,NaN,NaN,bricks loose at top of chimney - gypsum board ceiling loose in garage,1,0,2,38.332866,-122.30936,89.02439024,67.07317073,0.925925926,31.8287037,0,33779,67.37804878,74.83333333,,
164,1600 BRYCE CT,North,0,Yellow,Residential,1603,1966,50,"$552,500",11/10/14,3/10/15,120,4.0,chimney,1,0,1,38.334063,-122.310789,89.02439024,67.07317073,0.925925926,31.8287037,0,33779,67.37804878,74.83333333,,
165,1904 WISE DR,North,0,Yellow,Residential,1215,1966,50,"$485,000",9/10/14,expired on 9/27/15,NaN,NaN,chimney damaged through roofline,1,0,1,38.332726,-122.314483,89.02439024,67.07317073,0.925925926,31.8287037,0,33779,67.37804878,74.83333333,,
166,1902 WISE DR,North,0,Yellow,Residential,1215,1966,50,"$469,900",11/21/14,1/2/15,41,1.4,chimney section through roofline damaged,1,0,1,38.332784,-122.31429,89.02439024,67.07317073,0.925925926,31.8287037,0,33779,67.37804878,74.83333333,,
167,1583 EL CENTRO AVE,North,0,Yellow,Residential,800,NaN,NaN,NaN,2/17/15,3/6/15,19,0.6,back porch landing cracked at structure wall.,0,0,2,38.334895,-122.31385,89.02439024,67.07317073,0.925925926,31.8287037,0,33779,67.37804878,74.83333333,,
168,1216 DARLING ST,North,0,Yellow,Residential,1440,1954,62,"$540,200",NaN,NaN,NaN,NaN,chimney damage (Harnos Vuletic City of Napa),1,0,1,38.341938,-122.309908,100,74.79224377,5.098493627,26.30359212,3.3603708,56328,77.00831025,89.2971246,,
169,1780 EL CENTRO AVE,North,0,Yellow,Residential,800,NaN,NaN,NaN,NaN,NaN,NaN,NaN,porch detaching; owner starting repairs,0,0,2,38.335765,-122.318276,94.65930018,64.64088398,1.110385369,32.39712606,0,36703,85.45119705,74.48888889,,
170,1785 MONARCH DR,North,0,Yellow,Residential,1968,1973,43,"$579,800",NaN,NaN,NaN,NaN,chimney,1,0,1,38.337143,-122.319721,94.65930018,64.64088398,1.110385369,32.39712606,0,36703,85.45119705,74.48888889,,
171,1840 MONARCH CT,North,0,Yellow,Residential,1968,1972,44,"$577,400",NaN,NaN,NaN,NaN,chimney,1,0,1,38.337522,-122.322103,94.65930018,64.64088398,1.110385369,32.39712606,0,36703,85.45119705,74.48888889,,
172,1567 GORDON DR,North,0,Yellow,Residential,2012,1961,55,"$624,000",3/10/15,expired on 11/3/15,NaN,NaN,chimney shall not be used until repaired,1,0,2,38.338257,-122.316184,94.65930018,64.64088398,1.110385369,32.39712606,0,36703,85.45119705,74.48888889,,
173,1532 GORDON DR,North,0,Yellow,Residential,2012,1961,55,"$611,500",11/18/14,3/31/15,132,4.4,chimney top demolished,1,0,2,38.338886,-122.315699,94.65930018,64.64088398,1.110385369,32.39712606,0,36703,85.45119705,74.48888889,,
174,3081 HERMOSA DR,North,0,Yellow,Residential,1686,1950,66,"$555,200",10/1/14,expired on 5/12/15,NaN,NaN,chimney,1,0,1,38.338722,-122.320701,94.65930018,64.64088398,1.110385369,32.39712606,0,36703,85.45119705,74.48888889,,
175,3076 HERMOSA DR,North,0,Yellow,Residential,1614,1950,66,"$553,200",1/23/15,7/20/15,177,5.9,chimney,1,0,1,38.338744,-122.319785,94.65930018,64.64088398,1.110385369,32.39712606,0,36703,85.45119705,74.48888889,,
176,1580 PAULSON WAY,North,0,Yellow,Residential,1506,1973,43,"$539,000",12/16/14,1/7/15,21,0.7,"Display bricks, crack along morter line. Avoid chimney area",1,0,2,38.338955,-122.318019,94.65930018,64.64088398,1.110385369,32.39712606,0,36703,85.45119705,74.48888889,,
